bes,on,from,to,start,actual_start,end,actual_end,length,in_house,from_lat,from_lng,to_lat,to_lng
1601130,S ASHLAND AVE,W 63RD ST,W MARQUETTE RD,2017-01-09,TRUE,2017-04-18,TRUE,2609.392596,FALSE,41.7794589,-87.6642888,41.7721986,-87.6639278
1601130,S ASHLAND AVE,W MARQUETTE RD,W 71ST ST,2017-01-09,TRUE,2017-04-18,TRUE,2646.267501,FALSE,41.7721986,-87.6639278,41.7649064,-87.6636986
1701089,N CENTRAL PARK BLVD,W MADISON ST,W FIFTH AVE,2017-01-23,TRUE,2017-03-16,TRUE,1845.361608,FALSE,41.880854,-87.7158843,41.8756961,-87.7157196
1501362,N SOUTHPORT AVE,W ADDISON ST,W BELMONT AVE,2017-01-30,TRUE,2017-05-24,TRUE,2685.944124,FALSE,41.9470633,-87.6640242,41.9397586,-87.6638115
1601069,W FIFTH AVE,S KOSTNER AVE,W HARRISON ST,2017-01-30,TRUE,2017-04-20,TRUE,3277.774718,FALSE,41.8702986,-87.7351109,41.8734591,-87.7238643
1601069,S KEDVALE AVE,W FIFTH AVE,W ARTHINGTON ST,2017-01-30,TRUE,2017-04-20,TRUE,725.7844733,FALSE,41.8719846,-87.7290422,41.8699748,-87.7289863
1601069,S TRIPP AVE,W HARRISON ST,W ARTHINGTON ST,2017-01-30,TRUE,2017-04-20,TRUE,1246.138521,FALSE,41.8733664,-87.7315342,41.8699485,-87.7314256
1701141,E 83RD PL,S COMMERCIAL AVE,S BOND AVE,2017-01-30,TRUE,2017-03-29,TRUE,1057.670597,FALSE,41.7434668,-87.5517331,41.7435034,-87.5478859
1701141,S HOUSTON AVE,E 82ND ST,E 83RD PL,2017-01-30,TRUE,2017-03-29,TRUE,1095.44711,FALSE,41.7464811,-87.5503654,41.7434702,-87.550295
1701141,E 83RD ST,S COMMERCIAL AVE,S HOUSTON AVE,2017-01-30,TRUE,2017-03-29,TRUE,316.2074809,FALSE,41.7446582,-87.5514255,41.7446616,-87.5503237
1701176,W 47TH ST,S LOOMIS BLVD,S RACINE AVE,2017-02-08,TRUE,2017-04-04,TRUE,1308.787051,FALSE,41.8086596,-87.6601074,41.808731,-87.6552462
1701116,E 81ST ST,S COLFAX AVE,S EXCHANGE AVE,2017-02-14,TRUE,2017-06-07,TRUE,2284.473502,FALSE,41.748144,-87.5613263,41.7482616,-87.5528303
1701116,S MANISTEE AVE,E 81ST ST,E 82ND ST,2017-02-14,TRUE,2017-06-07,TRUE,667.1406658,FALSE,41.7481977,-87.5576846,41.7463746,-87.557644
1401051,S MASSASOIT AVE,W 61ST ST,W 63RD ST,2017-02-20,TRUE,2017-06-05,TRUE,1335.441431,FALSE,41.7816595,-87.7655302,41.7779837,-87.7653901
1401051,W 61ST ST,S MENARD AVE,S CENTRAL AVE,2017-02-20,TRUE,2017-06-05,TRUE,1315.320635,FALSE,41.7816247,-87.7667454,41.7817089,-87.7618693
1401051,S MENARD AVE,W 60TH ST,W 63RD ST,2017-02-20,TRUE,2017-06-05,TRUE,1983.977721,FALSE,41.7834584,-87.766815,41.7779553,-87.7666079
1501154,W WILSON AVE,N SEELEY AVE,N DAMEN AVE,2017-02-20,TRUE,2017-07-31,FALSE,380.7008335,FALSE,41.965072,-87.6806947,41.9650895,-87.6790765
1501154,N DAMEN AVE,W LAWRENCE AVE,W MONTROSE AVE,2017-02-20,TRUE,2017-07-31,FALSE,2614.61538,FALSE,41.9687574,-87.6791738,41.9614522,-87.6789658
1501154,N DAMEN AVE,W ARGYLE ST,W LAWRENCE AVE,2017-02-20,TRUE,2017-07-31,FALSE,1303.032052,FALSE,41.9723853,-87.6792817,41.9687574,-87.6791738
1601037,W HUBBARD ST,N LAVERGNE AVE,N CICERO AVE,2017-02-20,TRUE,2017-05-15,TRUE,1321.092303,FALSE,41.8886471,-87.7504624,41.8886725,-87.7455681
1601037,W KINZIE ST,N LAVERGNE AVE,N CICERO AVE,2017-02-20,TRUE,2017-05-15,TRUE,1338.281801,FALSE,41.8878691,-87.7504358,41.887926,-87.7455431
1601037,N LAVERGNE AVE,W HUBBARD ST,W KINZIE ST,2017-02-20,TRUE,2017-05-15,TRUE,329.7942641,FALSE,41.8886471,-87.7504624,41.8878691,-87.7504358
1601099,E 113TH PL,S STATE ST,S MICHIGAN AVE,2017-02-20,TRUE,2017-07-18,FALSE,538.5508271,FALSE,41.6880385,-87.6229624,41.688073,-87.6209915
1601099,S STATE ST,E 113TH ST,E 119TH ST,2017-02-20,TRUE,2017-07-18,FALSE,3910.994795,FALSE,41.688957,-87.6229923,41.6780163,-87.6226548
1401201,S LANGLEY AVE,E PERSHING RD,E 40TH ST,2017-02-24,TRUE,2017-05-05,TRUE,768.9929024,FALSE,41.8239737,-87.609955,41.8214594,-87.6097816
1401201,E 40TH ST,S VINCENNES AVE,S COTTAGE GROVE AVE,2017-02-24,TRUE,2017-05-05,TRUE,1626.762151,FALSE,41.8214148,-87.6131639,41.8215045,-87.6068311
1601144,N CICERO AVE,W WRIGHTWOOD AVE,W ARMITAGE AVE,2017-02-24,TRUE,2017-08-05,FALSE,3965.773725,FALSE,41.9285649,-87.7465076,41.9169352,-87.7461694
1601144,N CICERO AVE,W DIVERSEY AVE,W WRIGHTWOOD AVE,2017-02-24,TRUE,2017-08-05,FALSE,0,FALSE,41.9315492,-87.746641,41.9285649,-87.7465076
