date,address,1st,4th,6th,5min,5min2,study,partial,site,lat,lng
2016-09-28,10050 S. Eggleston Ave.,1.9,1.4,1.5,1.3,,TRUE,FALSE,,41.7110277,-87.6340037
2016-09-28,10150 S. Eggleston Ave.,1.9,1.5,1.8,0.8,,TRUE,FALSE,,41.7091933,-87.6339517
2017-01-10,10150 S. Eggleston Ave.,1.8,1.1,1.1,0.7,0.7,TRUE,FALSE,,41.7091933,-87.6339517
2017-02-08,10150 S. Eggleston Ave.,2,1.1,1.2,0.6,,TRUE,FALSE,,41.7091933,-87.6339517
2017-03-07,10150 S. Eggleston Ave.,2.1,1,1,0.7,,TRUE,FALSE,,41.7091933,-87.6339517
2017-04-04,10150 S. Eggleston Ave.,1.7,1.1,1.1,0.8,,TRUE,FALSE,,41.7091933,-87.6339517
2017-05-09,10150 S. Eggleston Ave.,2.1,1.5,1.4,1.2,,TRUE,FALSE,,41.7091933,-87.6339517
2017-06-06,10150 S. Eggleston Ave.,1.4,1,1.1,0.9,,TRUE,FALSE,,41.7091933,-87.6339517
2017-06-20,10150 S. Racine Ave.,3.1,4.7,4.4,2.7,,TRUE,FALSE,,41.7085171,-87.6529603
2016-09-28,10250 S. Eggleston Ave. ,3.8,7.6,10,4.7,,TRUE,FALSE,1,41.7075565,-87.6339329
2017-01-10,10250 S. Eggleston Ave. ,4.1,4.2,7.9,1.8,,TRUE,FALSE,1,41.7075565,-87.6339329
2016-10-12,10250 S. Eggleston Ave. ,5.5,8,13,5.3,,TRUE,FALSE,2,41.7075565,-87.6339329
2017-01-12,10250 S. Eggleston Ave. ,4.8,4.8,8.4,2.3,,TRUE,FALSE,2,41.7075565,-87.6339329
2016-09-29,10250 S. Eggleston Ave. ,1.9,1,0.9,0.6,,TRUE,FALSE,3,41.7075565,-87.6339329
2017-01-11,10250 S. Eggleston Ave. ,1.8,1.9,1.9,0.8,,TRUE,FALSE,3,41.7075565,-87.6339329
2016-09-15,10350 S. Racine Ave.,5.5,5,18,4.5,,TRUE,FALSE,,41.705945,-87.6525292
2016-09-15,1050 W. 103rd St.,6.4,2.6,4,2,,TRUE,FALSE,,41.7070607,-87.6496363
2017-02-08,10450 S. Artesian Ave.,3.7,2,3.3,1.3,1.2,TRUE,FALSE,,41.7030334,-87.6830689
2017-03-08,10450 S. Artesian Ave.,3.2,3.6,3.9,1.2,,TRUE,FALSE,,41.7030334,-87.6830689
2017-07-28,10550 S. Racine Ave.,4.4,3.9,12,8.4,,TRUE,FALSE,,41.7015865,-87.6529912
2017-08-08,10550 S. Racine Ave.,4.3,6.8,7.6,4.3,,TRUE,FALSE,,41.7015865,-87.6529912
2017-06-20,10650 S. Racine Ave.,1.2,2.6,2.5,2.3,,TRUE,FALSE,,41.7008068,-87.6526369
2017-06-23,10750 S. Ave. N,5,14,12,3.1,,TRUE,FALSE,,41.702734,-87.5388981
2017-07-21,10750 S. Ave. N,5.8,23,15,4.4,,TRUE,FALSE,,41.702734,-87.5388981
2017-04-04,1150 W. 104th St.,4.4,2.6,2.3,0.6,,TRUE,FALSE,,41.7052269,-87.6520822
2017-04-14,1150 W. 104th St.,1.2,1,1.1,0.7,,TRUE,FALSE,,41.7052269,-87.6520822
2017-08-23,1150 W. 19th Pl.,2.2,4.2,6.2,2.7,,TRUE,FALSE,,41.8560923,-87.6551741
2016-08-25,1150 E. 81st St. ,2,2.2,1.8,1.2,1.2,TRUE,FALSE,1,41.7477329,-87.59763
2016-12-15,1150 E. 81st St. ,3.8,3.3,13,1,,TRUE,FALSE,1,41.7477329,-87.59763
2016-08-25,1150 E. 81st St. ,1.2,1.9,2.9,0.9,,TRUE,FALSE,2,41.7477329,-87.59763
2016-12-15,1150 E. 81st St. ,0.8,1.2,2.5,0.4,0.3,TRUE,FALSE,2,41.7477329,-87.59763
2017-06-20,1150 W. 102nd St.,3.1,3,8.1,1.8,1.8,TRUE,FALSE,,41.7088463,-87.6521978
2017-04-14,1250 W. 97th St. ,1,2.6,3.3,1.2,,TRUE,FALSE,1,41.7183165,-87.6549725
2017-04-14,1250 W. 97th St. ,2.2,2.7,4.2,0.8,,TRUE,FALSE,2,41.7183165,-87.6549725
2017-04-17,1250 W. 97th St. ,5.1,11,11,7.4,,TRUE,FALSE,3,41.7183165,-87.6549725
2017-04-13,1250 W. 97th St. ,1.1,1.5,1.7,0.9,,TRUE,FALSE,4,41.7183165,-87.6549725
2017-05-12,1250 W. 97th St. ,0.9,0.9,0.9,0.7,,TRUE,FALSE,5,41.7183165,-87.6549725
2017-04-21,1250 W. 97th Pl. ,1.7,2.2,2.7,1.3,,TRUE,FALSE,1,41.7172769,-87.6549513
